idIIP,nazwaGlown,kategoria,rodzaj,x,y
PL.PZGiK.320.NGRP.41340,Holendry,miejscowość,część wsi,18.959324563331155,52.06062818287687
PL.PZGiK.320.NGRP.41342,Holendry,miejscowość,przysiółek wsi,21.130781822880003,52.59705989247161
PL.PZGiK.320.NGRP.41343,Holendry,miejscowość,część wsi,20.008691961276423,52.412725307200056
PL.PZGiK.320.NGRP.41344,Holendry,miejscowość,wieś,21.36204090807179,51.8338290467593
PL.PZGiK.320.NGRP.41345,Holendry,miejscowość,wieś,23.828607211233912,51.026896340483525
PL.PZGiK.320.NGRP.41346,Holendry,miejscowość,część wsi,21.58907544244301,50.46288999945174
PL.PZGiK.320.NGRP.41347,Holendry,miejscowość,wieś,20.853444376830744,50.71292485013289
PL.PZGiK.320.NGRP.41348,Holendry,miejscowość,wieś,20.687775436479015,50.602925279821584
PL.PZGiK.320.NGRP.41349,Holendry,miejscowość,część miasta,20.11389047830307,50.049047153865764
PL.PZGiK.320.NGRP.41350,Holendry Baranowskie,miejscowość,wieś,20.45980561305922,52.10709698671146
PL.PZGiK.320.NGRP.41351,Holendry Baranowskie Środkowe,miejscowość,część wsi,20.470378923860117,52.10787615466597
PL.PZGiK.320.NGRP.41352,Holendry Baranowskie Zachodnie,miejscowość,część wsi,20.44266945336249,52.11359388913163
PL.PZGiK.320.NGRP.41353,Holendry Broniszewskie,miejscowość,przysiółek wsi,18.40435383450793,52.45542154687813
PL.PZGiK.320.NGRP.41354,Holendry Bytońskie,miejscowość,wieś,18.601274318647114,52.54745462176796
PL.PZGiK.320.NGRP.41355,Holendry Chwalborskie,miejscowość,część wsi,18.82057525306802,52.0770231321748
PL.PZGiK.320.NGRP.41356,Holendry Dobrowskie,miejscowość,wieś,19.606264048230692,52.317165420831735
PL.PZGiK.320.NGRP.41357,Holendry Jaroszewickie,miejscowość,część wsi,18.095888535490992,52.0639107131332
PL.PZGiK.320.NGRP.41358,Holendry Kozienickie,miejscowość,wieś,21.601111156718705,51.60611113551403
PL.PZGiK.320.NGRP.41359,Holendry Kuźmińskie,miejscowość,wieś,21.53146404167059,51.647412965219274
PL.PZGiK.320.NGRP.41360,Holendry,miejscowość,wieś,18.918247690021097,51.57525886949922
PL.PZGiK.320.NGRP.41361,Holendry Piotrkowskie,miejscowość,wieś,21.5241665995315,51.624999976938746
PL.PZGiK.320.NGRP.41362,Holendry Sierakowickie,miejscowość,przysiółek wsi,19.392407993210664,52.3490708103643
PL.PZGiK.320.NGRP.41363,Holendry Strzeleckie,miejscowość,wieś,19.41743214402139,52.33470288123969
PL.PZGiK.320.NGRP.41364,Holeszów,miejscowość,wieś,23.39084520923546,51.687491724003905
PL.PZGiK.320.NGRP.41365,Holeszów-Folwark,miejscowość,przysiółek wsi,23.41236070166868,51.70901948919486
PL.PZGiK.320.NGRP.41368,Holiki,miejscowość,wieś,23.337135619850983,53.520209150535536
PL.PZGiK.320.NGRP.41369,Holma,miejscowość,część wsi,18.125795192306477,54.433468982271634
PL.PZGiK.320.NGRP.41370,Holonki,miejscowość,wieś,22.871124814815254,52.661227518561915
PL.PZGiK.320.NGRP.41372,Kolonia Holonki,miejscowość,kolonia wsi,22.84700153102963,52.64757235083597
PL.PZGiK.320.NGRP.41373,Holowa Górka,miejscowość,część miasta,19.351827851576083,50.533078119073664
PL.PZGiK.320.NGRP.41376,Holydówka,miejscowość,część wsi,19.62652340802925,49.76577261791762
PL.PZGiK.320.NGRP.41378,Hołcyna,miejscowość,część wsi,18.927484562872745,49.71134010880166
PL.PZGiK.320.NGRP.41383,Hołdowiec,miejscowość,wieś,20.498600325492628,50.28503599725746
PL.PZGiK.320.NGRP.41384,Hołdowiec,miejscowość,część wsi,20.330852990630618,50.21572744100651
PL.PZGiK.320.NGRP.41385,Stary Hołdunów,miejscowość,część miasta,19.137023705168097,50.14495753594884
PL.PZGiK.320.NGRP.41390,Hołny Mejera,miejscowość,wieś,23.467940003024427,54.14571702003043
PL.PZGiK.320.NGRP.41391,Hołny Wolmera,miejscowość,wieś,23.47399735593854,54.11499579950073
PL.PZGiK.320.NGRP.41393,Hołodnica,miejscowość,wieś,23.25511138615739,52.146091849195365
PL.PZGiK.320.NGRP.41394,Hołodnica-Kolonia,miejscowość,część wsi,23.242532448530127,52.14535380754709
PL.PZGiK.320.NGRP.41395,Hołodolina,miejscowość,wieś,23.22695634308843,53.54037406940214
PL.PZGiK.320.NGRP.41396,Głodówka,miejscowość,przysiółek wsi,23.26570148305777,50.1030022004325
